,country,salary,salary_in_usd,avg_salary,cost_living
0,Argentina,1503900,8042.85,9960.0,576.0
1,Australia,111100,78952.28595722416,57170.0,1947.0
2,Belarus,952071300,37633.4,,581.0
3,Bosnia and Herzegovina,50900,28279.5,,546.0
4,Brazil,227000,44758.18452380953,7740.0,661.0
5,Bulgaria,57100,31720.60026587586,,639.0
6,Canada,86300,64759.272049174666,48310.0,1832.0
7,Chile,27384400,33937.2,,840.0
8,China,235000,34648.86687474555,11880.0,758.0
9,Colombia,41831600,9170.49,,548.0
10,Croatia,261500,37008.67776819478,17630.0,896.0
11,Czech Republic,900300,41054.97985394107,,1007.0
12,Denmark,535100,78166.4134555917,68300.0,1665.0
13,Dominican Republic,1480700,25931.1,,791.0
14,Hong Kong,637800,81467.382231575,54460.0,2822.0
15,Hungary,10227600,28577.31104539025,17740.0,712.0
16,India,1350400,16546.481414651753,2150.0,416.0
17,Indonesia,324836600,21677.5206849639,4180.0,564.0
18,Israel,234900,65675.54347826088,49290.0,1748.0
19,Japan,8019700,61753.395109851175,42650.0,1171.0
20,Malaysia,105200,24785.280596756005,10710.0,574.0
21,Mexico,546800,29168.50126179558,9590.0,713.0
22,Morocco,248100,24315.2,3620.0,586.0
23,Norway,750700,75802.56040892194,83880.0,1892.0
24,Pakistan,2714500,10319.4,1470.0,294.0
25,Peru,109600,28221.2,,672.0
26,Philippines,1292000,23717.336577288934,3550.0,587.0
27,Poland,175800,40566.35871296591,16850.0,814.0
28,Romania,131200,29112.38639844787,14160.0,650.0
29,Russia,1748600,16653.333333333336,11610.0,868.0
30,Serbia,2693400,24927.7,8460.0,667.0
31,Singapore,85200,64838.4114309729,64010.0,2420.0
32,South Africa,719300,41751.17931458184,6530.0,852.0
33,South Korea,67987400,55069.30235505491,35110.0,1062.0
34,Sweden,652900,63276.1132122596,59540.0,1398.0
35,Switzerland,122800,133195.7671957672,90600.0,2507.0
36,Thailand,968900,29486.018990532742,7090.0,742.0
37,Tunisia,97600,31783.1,,416.0
38,Turkey,127400,6773.180339099161,9900.0,428.0
39,Ukraine,717100,19347.6,4120.0,458.0
40,United Kingdom,47200,58352.16476076692,44480.0,1804.0
41,United States,75100,75100.0,70930.0,2112.0
42,Austria,53200,57801.8,52760.0,1467.0
43,Belgium,59500,64646.75,50490.0,1324.0
44,Estonia,41300,44872.45,,1019.0
45,Finland,60900,66167.85,53510.0,1423.0
46,France,54400,59105.6,44160.0,1363.0
47,Germany,63400,68884.1,51660.0,1325.0
48,Greece,55200,59974.8,20000.0,919.0
49,Ireland,61500,66819.75,76110.0,1974.0
50,Italy,63600,69101.4,35990.0,1221.0
51,Latvia,39100,42482.15,,860.0
52,Lithuania,36600,39765.9,,859.0
53,Luxembourg,68000,73882.0,88190.0,2050.0
54,Malta,55400,60192.1,,1275.0
55,Netherlands,63000,68449.5,55200.0,1680.0
56,Portugal,41400,44981.1,23890.0,977.0
57,Slovenia,43000,46719.5,,1059.0
58,Spain,48600,52803.9,29690.0,1141.0
