,country,salary,salary_in_usd,avg_salary
0,Argentina,1503900,,"9,960"
1,Australia,111100,78952.28595722416,"57,170"
2,Belarus,952071300,,
3,Bosnia and Herzegovina,50900,,
4,Brazil,227000,44758.18452380953,"7,740"
5,Bulgaria,57100,31720.60026587586,
6,Canada,86300,64759.272049174666,"48,310"
7,Chile,27384400,,
8,China,235000,34648.86687474555,"11,880"
9,Colombia,41831600,,
10,Croatia,261500,37008.67776819478,"17,630"
11,Czech Republic,900300,41054.97985394107,
12,Denmark,535100,78166.4134555917,"68,300"
13,Dominican Republic,1480700,,
14,Hong Kong,637800,81467.382231575,"54,460"
15,Hungary,10227600,28577.311045390252,"17,740"
16,India,1350400,16546.481414651753,"2,150"
17,Indonesia,324836600,21677.5206849639,"4,180"
18,Israel,234900,65675.54347826088,"49,290"
19,Japan,8019700,61753.395109851175,"42,650"
20,Malaysia,105200,24785.280596756005,"10,710"
21,Mexico,546800,29168.50126179558,"9,590"
22,Morocco,248100,,"3,620"
23,Norway,750700,75802.56040892194,"83,880"
24,Pakistan,2714500,,"1,470"
25,Peru,109600,,
26,Philippines,1292000,23717.336577288934,"3,550"
27,Poland,175800,40566.35871296591,"16,850"
28,Romania,131200,29112.38639844787,"14,160"
29,Russia,1748600,16653.333333333336,"11,610"
30,Serbia,2693400,,"8,460"
31,Singapore,85200,64838.4114309729,"64,010"
32,South Africa,719300,41751.17931458184,"6,530"
33,South Korea,67987400,55069.30235505491,"35,110"
34,Sweden,652900,63276.1132122596,"59,540"
35,Switzerland,122800,133195.7671957672,"90,600"
36,Thailand,968900,29486.018990532742,"7,090"
37,Tunisia,97600,,
38,Turkey,127400,6773.180339099161,"9,900"
39,Ukraine,717100,,"4,120"
40,United Kingdom,47200,58352.16476076692,"44,480"
41,United States,75100,75100.0,"70,930"
42,Austria,53200,57801.8,"52,760"
43,Belgium,59500,64646.75,"50,490"
44,Estonia,41300,44872.45,
45,Finland,60900,66167.85,"53,510"
46,France,54400,59105.6,"44,160"
47,Germany,63400,68884.1,"51,660"
48,Greece,55200,59974.8,"20,000"
49,Ireland,61500,66819.75,"76,110"
50,Italy,63600,69101.4,"35,990"
51,Latvia,39100,42482.15,
52,Lithuania,36600,39765.9,
53,Luxembourg,68000,73882.0,"88,190"
54,Malta,55400,60192.1,
55,Netherlands,63000,68449.5,"55,200"
56,Portugal,41400,44981.1,"23,890"
57,Slovenia,43000,46719.5,
58,Spain,48600,52803.9,"29,690"
