,country,salary,salary_in_usd,avg_salary,cost_living
0,Argentina,1503900,,"9,960",576.0
1,Australia,111100,78952.28595722416,"57,170",1947.0
2,Belarus,952071300,,,581.0
3,Bosnia and Herzegovina,50900,,,546.0
4,Brazil,227000,44758.18452380953,"7,740",661.0
5,Bulgaria,57100,31720.60026587586,,639.0
6,Canada,86300,64759.272049174666,"48,310",1832.0
7,Chile,27384400,,,840.0
8,China,235000,34648.86687474555,"11,880",758.0
9,Colombia,41831600,,,548.0
10,Croatia,261500,37008.67776819478,"17,630",896.0
11,Czech Republic,900300,41054.97985394107,,1007.0
12,Denmark,535100,78166.4134555917,"68,300",1665.0
13,Dominican Republic,1480700,,,791.0
14,Hong Kong,637800,81467.382231575,"54,460",
15,Hungary,10227600,28577.31104539025,"17,740",712.0
16,India,1350400,16546.481414651753,"2,150",416.0
17,Indonesia,324836600,21677.5206849639,"4,180",564.0
18,Israel,234900,65675.54347826088,"49,290",1748.0
19,Japan,8019700,61753.395109851175,"42,650",1171.0
20,Malaysia,105200,24785.280596756005,"10,710",574.0
21,Mexico,546800,29168.50126179558,"9,590",713.0
22,Morocco,248100,,"3,620",586.0
23,Norway,750700,75802.56040892194,"83,880",1892.0
24,Pakistan,2714500,,"1,470",294.0
25,Peru,109600,,,672.0
26,Philippines,1292000,23717.336577288934,"3,550",587.0
27,Poland,175800,40566.35871296591,"16,850",814.0
28,Romania,131200,29112.38639844787,"14,160",650.0
29,Russia,1748600,16653.333333333336,"11,610",868.0
30,Serbia,2693400,,"8,460",667.0
31,Singapore,85200,64838.4114309729,"64,010",2420.0
32,South Africa,719300,41751.17931458184,"6,530",852.0
33,South Korea,67987400,55069.30235505491,"35,110",1062.0
34,Sweden,652900,63276.1132122596,"59,540",1398.0
35,Switzerland,122800,133195.7671957672,"90,600",2507.0
36,Thailand,968900,29486.018990532742,"7,090",742.0
37,Tunisia,97600,,,416.0
38,Turkey,127400,6773.180339099161,"9,900",428.0
39,Ukraine,717100,,"4,120",458.0
40,United Kingdom,47200,58352.16476076692,"44,480",1804.0
41,United States,75100,75100.0,"70,930",2112.0
42,Austria,53200,57801.8,"52,760",1467.0
43,Belgium,59500,64646.75,"50,490",1324.0
44,Estonia,41300,44872.45,,1019.0
45,Finland,60900,66167.85,"53,510",1423.0
46,France,54400,59105.6,"44,160",1363.0
47,Germany,63400,68884.1,"51,660",1325.0
48,Greece,55200,59974.8,"20,000",919.0
49,Ireland,61500,66819.75,"76,110",1974.0
50,Italy,63600,69101.4,"35,990",1221.0
51,Latvia,39100,42482.15,,860.0
52,Lithuania,36600,39765.9,,859.0
53,Luxembourg,68000,73882.0,"88,190",2050.0
54,Malta,55400,60192.1,,1275.0
55,Netherlands,63000,68449.5,"55,200",1680.0
56,Portugal,41400,44981.1,"23,890",977.0
57,Slovenia,43000,46719.5,,1059.0
58,Spain,48600,52803.9,"29,690",1141.0
