,0
0,Argentina
1,Australia
2,Austria
3,Belarus
4,Belgium
5,Bosnia and Herzegovina
6,Brazil
7,Bulgaria
8,Canada
9,Chile
10,China
11,Colombia
12,Croatia
13,Czech Republic
14,Denmark
15,Dominican Republic
16,Estonia
17,Finland
18,France
19,Germany
20,Greece
21,Hong Kong
22,Hungary
23,India
24,Indonesia
25,Ireland
26,Israel
27,Italy
28,Japan
29,Latvia
30,Lithuania
31,Luxembourg
32,Malaysia
33,Malta
34,Mexico
35,Morocco
36,Netherlands
37,Norway
38,Pakistan
39,Peru
40,Philippines
41,Poland
42,Portugal
43,Romania
44,Russia
45,Serbia
46,Singapore
47,Slovenia
48,South Africa
49,South Korea
50,Spain
51,Sweden
52,Switzerland
53,Thailand
54,Tunisia
55,Turkey
56,Ukraine
57,United Kingdom
58,United States
59,Argentina
60,Australia
61,Austria
62,Belarus
63,Belgium
64,Bosnia and Herzegovina
65,Brazil
66,Bulgaria
67,Canada
68,Chile
69,China
70,Colombia
71,Croatia
72,Czech Republic
73,Denmark
74,Dominican Republic
75,Estonia
76,Finland
77,France
78,Germany
79,Greece
80,Hong Kong
81,Hungary
82,India
83,Indonesia
84,Ireland
85,Israel
86,Italy
87,Japan
88,Latvia
89,Lithuania
90,Luxembourg
91,Malaysia
92,Malta
93,Mexico
94,Morocco
95,Netherlands
96,Norway
97,Pakistan
98,Peru
99,Philippines
100,Poland
101,Portugal
102,Romania
103,Russia
104,Serbia
105,Singapore
106,Slovenia
107,South Africa
108,South Korea
109,Spain
110,Sweden
111,Switzerland
112,Thailand
113,Tunisia
114,Turkey
115,Ukraine
116,United Kingdom
117,United States
