,0
0,"1,503,900 $"
1,"111,100 $"
2,"53,200 €"
3,"952,071,300 Br"
4,"59,500 €"
5,"50,900 КМ"
6,"227,000 R$"
7,"57,100 лв"
8,"86,300 $"
9,"27,384,400 $"
10,"235,000 ¥"
11,"41,831,600 $"
12,"261,500 Kn"
13,"900,300 Kč"
14,"535,100 kr"
15,"1,480,700 $"
16,"41,300 €"
17,"60,900 €"
18,"54,400 €"
19,"63,400 €"
20,"55,200 €"
21,"637,800 $"
22,"10,227,600 Ft"
23,"1,350,400 ₹"
24,"324,836,600 Rp"
25,"61,500 €"
26,"234,900 ₪"
27,"63,600 €"
28,"8,019,700 ¥"
29,"39,100 €"
30,"36,600 €"
31,"68,000 €"
32,"105,200 RM"
33,"55,400 €"
34,"546,800 $"
35,"248,100 د.م."
36,"63,000 €"
37,"750,700 kr"
38,"2,714,500 ₨"
39,"109,600 S/."
40,"1,292,000 ₱"
41,"175,800 zł"
42,"41,400 €"
43,"131,200 L"
44,"1,748,600 руб."
45,"2,693,400 din"
46,"85,200 $"
47,"43,000 €"
48,"719,300 R"
49,"67,987,400 ₩"
50,"48,600 €"
51,"652,900 kr"
52,"122,800 ₣"
53,"968,900 ฿"
54,"97,600 د.ت"
55,"127,400 ₤"
56,"717,100 ₴"
57,"47,200 £"
58,"75,100 $"
59,"1,503,900 $"
60,"111,100 $"
61,"53,200 €"
62,"952,071,300 Br"
63,"59,500 €"
64,"50,900 КМ"
65,"227,000 R$"
66,"57,100 лв"
67,"86,300 $"
68,"27,384,400 $"
69,"235,000 ¥"
70,"41,831,600 $"
71,"261,500 Kn"
72,"900,300 Kč"
73,"535,100 kr"
74,"1,480,700 $"
75,"41,300 €"
76,"60,900 €"
77,"54,400 €"
78,"63,400 €"
79,"55,200 €"
80,"637,800 $"
81,"10,227,600 Ft"
82,"1,350,400 ₹"
83,"324,836,600 Rp"
84,"61,500 €"
85,"234,900 ₪"
86,"63,600 €"
87,"8,019,700 ¥"
88,"39,100 €"
89,"36,600 €"
90,"68,000 €"
91,"105,200 RM"
92,"55,400 €"
93,"546,800 $"
94,"248,100 د.م."
95,"63,000 €"
96,"750,700 kr"
97,"2,714,500 ₨"
98,"109,600 S/."
99,"1,292,000 ₱"
100,"175,800 zł"
101,"41,400 €"
102,"131,200 L"
103,"1,748,600 руб."
104,"2,693,400 din"
105,"85,200 $"
106,"43,000 €"
107,"719,300 R"
108,"67,987,400 ₩"
109,"48,600 €"
110,"652,900 kr"
111,"122,800 ₣"
112,"968,900 ฿"
113,"97,600 د.ت"
114,"127,400 ₤"
115,"717,100 ₴"
116,"47,200 £"
117,"75,100 $"
